dataset	column	dtype	description	n_unique_values	n_empty_values	bids_levels	bids_units	is_categorical	min	max	standardized_var	llm_classification	llm_snomed_term	llm_label	snomed_label	llm_confidence	reviewer_rating	reviewer_notes	reviewer_name	assessment_term	assessment_label	age_format	exclude
ds005515	participant_id	string	The prticipant ID set in the HBN dataset	533	0			False			nb:ParticipantID												
ds005515	release_number	string	The release in which the dataset was made available via the HBN project	1	0			True															
ds005515	RestingState	string	Availability status of the resting state task	3	0			True															
ds005515	seqLearning6target	string	Availability status of the sequence learning 6-target task	1	0			True															
ds005515	seqLearning8target	string	Availability status of the sequence learning 8-target task	1	0			True															
ds005515	sex	string	Gender	2	0	F, M		True			nb:Sex												
ds005515	surroundSupp_1	string	Availability status of the 1st run of the surround suppression task	3	0			True															
ds005515	surroundSupp_2	string	Availability status of the 2nd run of the surround suppression task	3	0			True															
ds005515	symbolSearch	string	Availability status of the symbol search task	3	0			True															
ds005515	ThePresent	string	Availability status of watching the The Present	3	0			True															
ds005516	age	Float64	Age in years	426	0			False	5.0802	22.0002	nb:Age	nb:Assessment	n/a	n/a	not found	n/a	incorrect	Wrong standardized variable	Arman			nb:FromFloat	
ds005516	attention	Float64	Focuses on attentional capacities or deficits, crucial in conditions like ADHD, affecting focus and concentration.	382	3			False	-2.244	1.927		nb:Assessment	311451000000109	MARS - Moss Attention Rating Scale	not found	medium	incorrect	Wrong assessment guess	Arman				
ds005516	commercial_use	string	Did the participant consent to commercial use of data?	1	0	Yes, No		True															
ds005516	contrastChangeDetection_1	string	Availability status of the 1st run of the contrast change task	3	0			True															
ds005516	contrastChangeDetection_2	string	Availability status of the 2nd run of the contrast change task	3	0			True															
ds005516	contrastChangeDetection_3	string	Availability status of the 3rd run of the contrast change task	3	0			True															
ds005516	DespicableMe	string	Availability status of watching the Despicable Me	3	0			True															
ds005516	DiaryOfAWimpyKid	string	Availability status of watching the Diary Of A Wimpy Kid	3	0			True															
ds005516	ehq_total	Float64	Edinburgh Handedness Questionnaire, +100=Fully Right-handed, -100=Fully Left-handed	136	3			False	-100.05	100.05		nb:Assessment	1113031000000103	Edinburgh Handedness Questionnaire	not found	medium	incorrect	Right label, but no term available	Alyssa				
ds005516	externalizing	Float64	Encompasses outwardly directed behavioral problems, often seen in disorders like ADHD and conduct disorder.	384	3			False	-1.978	1.868		nb:Assessment	311451000000109	MARS - Moss Attention Rating Scale	not found	medium	incorrect	Wrong assessment guess 	Arman				
ds005516	full_pheno	string	Does the participant have a full phenotypic file?	2	0			True															
ds005516	FunwithFractals	string	Availability status of watching the Fun with Fractals	3	0			True															
ds005516	internalizing	Float64	An indicator of inwardly directed psychological symptoms, typically involving mood and anxiety disorders.	405	3			False	-1.9	2.74		nb:Assessment	311451000000109	MARS - Moss Attention Rating Scale	not found	medium	incorrect	Wrong assessment guess 	Arman				
ds005516	p_factor	Float64	Single latent score indicatve of comorbid features of psychiatric disorders	395	3			False	-1.909	2.574		nb:Assessment	311451000000109	MARS - Moss Attention Rating Scale	not found	medium	incorrect	Wrong assessment guess 	Arman				
ds005516	participant_id	string	The prticipant ID set in the HBN dataset	430	0			False			nb:ParticipantID												
ds005516	release_number	string	The release in which the dataset was made available via the HBN project	1	0			True															
ds005516	RestingState	string	Availability status of the resting state task	3	0			True															
ds005516	seqLearning6target	string	Availability status of the sequence learning 6-target task	1	0			True															
ds005516	seqLearning8target	string	Availability status of the sequence learning 8-target task	1	0			True															
ds005516	sex	string	Gender	2	0	F, M		True			nb:Sex												
ds005516	surroundSupp_1	string	Availability status of the 1st run of the surround suppression task	3	0			True															
ds005516	surroundSupp_2	string	Availability status of the 2nd run of the surround suppression task	3	0			True															
ds005516	symbolSearch	string	Availability status of the symbol search task	3	0			True															
ds005516	ThePresent	string	Availability status of watching the The Present	3	0			True															
ds005534	Anat_contrast	string	Contrast of the anatomical sequence	3	0			True															
ds005534	Anat_sequence	string	Anatomical sequence	7	0			True															
ds005534	Anat_TE	Float64	Echo time in seconds of the anatomical sequence	11	20			False	0.007	36.0													
ds005534	Anat_TR	Float64	Repetition time in seconds of the anatomical sequence	15	0			False	0.03	7.0													
ds005534	Anesthesia_breathing_assistance	string	Rat breathing assistance. Either free-breathing or mechanically ventilated	3	30			True															
ds005534	Anesthesia_breathing_rate	Float64	Reported rat breathing rate in breath per minute, bined to the next tenth	13	44			False	18.0	110.0													
ds005534	Anesthesia_induction	string	Anesthesia used for induction. Multiple agents are reported using / divider	4	0			True															
ds005534	Anesthesia_induction_dose	string	Anesthesia dose for induction. For isoflurane, reported in percentage, for injectables, reported in mg/kg	12	0			False															
ds005534	Anesthesia_maintenance	string	Anesthesia used for maintenance. Multiple agents are reported using / divider	5	0			True															
ds005534	Anesthesia_maintenance_dose	string	Anesthesia dose for maintenance. For isoflurane, reported in percentage, for injectables, reported in mg/kg/h	9	20			True															
ds005534	Anesthesia_post_induction_time	Float64	Reported time between anesthesia induction and functional imaging in minutes	31	70			False	30.0	450.0													
ds005534	Anesthesia_temperature	Float64	Reported rat temperature in degree celsius (°C)	34	15			False	22.0	38.0													
ds005534	Dataset_id	Int64	Dataset identifier	23	0			False	1013	2022													
ds005534	Func_FA	string	Flip angle in degrees of the functional sequence	7	38			True															
ds005534	Func_sensory_stimulation	string	Sensory stimulation type. Either, electrical, thermal, visual, optognetic or mechanical deflection	5	0			True															
ds005534	Func_sensory_system	string	Sensory system stimulated during the sensory evoked task. Either, forepaw, hindpaw, eyes or whiskers	5	0			True															
ds005534	Func_sequence	string	Functional sequence. Either gradient echo (GE-) or spin echo (SE-)	3	0			True															
ds005534	Func_TE	Float64	Echo time in seconds of the functional sequence	10	0			False	0.01	40.0													
ds005534	Func_TR	Float64	Repetition time in seconds of the functional sequence	5	0			True	1.0	4.0													
ds005534	MRI_field_strength	Float64	Magnet field strength in Tesla	5	0			True	4.7	17.2													
ds005534	MRI_vendor	string	Vendor of the magnet	2	0			True															
ds005534	participant_id	string	Rat identifier	217	0			False			nb:ParticipantID												
ds005534	Rat_age	string	Rat age in months reported in 2 months bins	4	49			True															
ds005534	Rat_sex	string	Rat sex	2	0			True															
ds005534	Rat_strain	string	Rat strain	4	0			True															
ds005534	Rat_weight	string	Rat weight in grams reported in 50 grams bins	80	14			False															
ds005555	age	Int64	Age at the time of the recording based on self-report	43	1			False	18	82	nb:Age											nb:FromFloat	
ds005555	bmi	Float64	Body Mass Index (BMI) based on self-reported height and weight	64	1			False	18.3	33.3													
ds005555	participant_id	string	Recording ID, named due to BIDS conventions. See 'pid' for unique participant identifier	128	0			False			nb:ParticipantID												
ds005555	pid	Int64	Unique participant identifier; is the same for all sessions of the same individual	100	0			False	1	108													
ds005555	sex	string	Sex of the participant based on self-report	2	0	F, M		True			nb:Sex												
ds005595	age	Float64	Age of the participant at the time of data collection.	173	0		years	False	36.0	100.0	nb:Age											nb:FromFloat	
ds005595	participant_id	string	Unique identifier for each participant.	200	0		n/a	False			nb:ParticipantID												
ds005595	sex	string	Biological sex of the participant.	2	0	M, F		True			nb:Sex												
ds005752	ace	Int64	Presence of Adverse Childhood Experiences (ACEs) data in data set.	2	0	0, 1		True	0	1													
ds005752	acute_care	Int64	Presence of Acute Care Panel data in data set.	2	0	0, 1		True	0	1													
ds005752	age	string	Participant's age at first/baseline online screening visit in years. n/a means there was no response from participant though a response was possible. Question may have been skipped over by participant.	70	30		Years	False			nb:Age												
ds005752	audit	Int64	Presence of Alcohol Use Disorders Identification Test (AUDIT) data in data set.	2	0	0, 1		True	0	1		nb:Assessment	273265007	Alcohol use disorders identification test	Alcohol use disorders identification test	high	correct		Arman				
ds005752	bai	Int64	Presence of Beck Anxiety Inventory (BAI) data in data set.	2	0	0, 1		True	0	1		nb:Assessment	273307004	Beck anxiety standardized rating scale	Beck anxiety standardized rating scale	high	correct		Arman				
ds005752	bdi	Int64	Presence of Beck Depression Inventory-II (BDI-II) data in dataset.	2	0	0, 1		True	0	1		nb:Assessment	273306008	Beck depression inventory	Beck depression inventory	high	correct		Arman				
ds005752	big_five_personality	Int64	Presence of Big Five Personality Survey data in dataset.	2	0	0, 1		True	0	1							missed	no term available	Alyssa				
ds005752	blood_chemistry	Int64	Presence of Blood Chemistry data in dataset.	2	0	0, 1		True	0	1													
ds005752	btq	Int64	Presence of Brief Trauma Questionnaire (BTQ) data in dataset.	2	0	0, 1		True	0	1													
ds005752	cbc_with_differential	Int64	Presence of Complete Blood Count with Differential data in data set.	2	0	0, 1		True	0	1													
ds005752	clinical_variable_form	Int64	Presence of Clinical Variable Form data in data set.	2	0	0, 1		True	0	1													
ds005752	demographics	Int64	Presence of Demographics data in data set.	2	0	0, 1		True	0	1													
ds005752	drug_use	Int64	Presence of Drug Use Questionnaire data in data set.	2	0	0, 1		True	0	1													
ds005752	ehi	Int64	Presence of Edinburgh Handedness Inventory (EHI) data in data set.	2	0	0, 1		True	0	1		nb:Assessment	273371004	Health of the Nation Outcome Scale for people with Learning Disabilities	Clinical evaluation of language function revised - preschool test	medium	incorrect	Wrong assessment guess	Arman				
ds005752	eligibility	Int64	Eligibility for the study.	2	0	0, 1		True	0	1													
ds005752	figs	Int64	Presence of Family Interview for Genetic Studies (FIGS) data in the dataset.	2	0	0, 1		True	0	1													
ds005752	gad7	Int64	Presence of Generalized Anxiety Disorder 7-item (GAD-7) scale data in the dataset.	2	0	0, 1		True	0	1		nb:Assessment	704501000000106	Generalized Anxiety Disorder 7 item scale	not found	high	incorrect	Correct label but Incorrect ID 	Alyssa	704501007	Generalized Anxiety Disorder 7 item scale		
ds005752	handedness	string	Handedness is decided based on Laterality Quotient ranges from the Edinburgh Handedness Inventory.  See Levels below for exact ranges.	3	27	left, ambidextrous, right, n/a		True									missed	No term available	Alyssa				
ds005752	health_history_checklist_year_1	Int64	Presence of online follow-up after one year of in-person visit Health History Checklist data in the dataset.	2	0	0, 1		True	0	1													
ds005752	health_history_questions	Int64	Presence of Health History Questions data in data set.	2	0	0, 1		True	0	1													
ds005752	health_rating	Int64	Presence of Health Rating data in data set.	2	0	0, 1		True	0	1													
ds005752	hematology	Int64	Presence of Hematology Panel data in data set.	2	0	0, 1		True	0	1													
ds005752	hepatic	Int64	Presence of Hepatic Function Panel data in data set.	2	0	0, 1		True	0	1													
ds005752	infectious_disease	Int64	Presence of Infectious Disease Panel data in data set.	2	0	0, 1		True	0	1													
ds005752	kbit2_vas	Int64	Presence of Kaufman Brief Intelligence Test 2nd Edition (KBIT-2) and Vocabulary Assessment Scale (VAS) data in data set.	2	0	0, 1		True	0	1													
ds005752	lipid	Int64	Presence of Lipid Panel data in data set.	2	0	0, 1		True	0	1													
ds005752	MEG	Int64	Presence of Magnetoencephalography (MEG) data in data set.	2	0	0, 1		True	0	1													
ds005752	mental_health_questions	Int64	Presence of Mental Health Questions data in data set.	2	0	0, 1		True	0	1													
ds005752	MRI	Int64	Presence of Magnetic Resonance Imaging (MRI) data in data set.	2	0	0, 1		True	0	1													
ds005752	mri_variables	Int64	Presence of MRI Variables data in data set.	2	0	0, 1		True	0	1													
ds005752	nih_toolbox	Int64	Presence of National Institutes of Health (NIH) Toolbox Cognition Battery data in data set.	2	0	0, 1		True	0	1							missed	no term available	Alyssa				
ds005752	other	Int64	Presence of Other Panel data in data set.	2	0	0, 1		True	0	1													
ds005752	participant_id	string	OpenNeuro ID of the subject.	1859	0			False			nb:ParticipantID												
ds005752	perceived_health_rating	Int64	Presence of Perceived Health Rating data in data set.	2	0	0, 1		True	0	1													
ds005752	phq9	Int64	Presence of Patient Health Questionnaire 9 (PHQ-9) data in the dataset.	2	0	0, 1		True	0	1		nb:Assessment	758711000000105	Patient health questionnaire 9	PHQ-9 - Patient health questionnaire 9	high	correct		Arman				
ds005752	release_1	Int64	Presence of participant data in release 1 of the dataset.	2	0	0, 1		True	0	1													
ds005752	release_2	Int64	Presence of participant data in release 2 of the dataset.	2	0	0, 1		True	0	1													
ds005752	satisfaction	Int64	Presence of Satisfaction Survey data in data set.	2	0	0, 1		True	0	1													
ds005752	scid5	Int64	Presence of Structured Clinical Interview for DSM-5 Disorders (SCID-5) data in data set.	2	0	0, 1		True	0	1													
ds005752	sex	string	Biological sex assigned at birth.	2	12	male, female, n/a		True			nb:Sex												
ds005752	urinalysis	Int64	Presence of Urinalysis data in data set.	2	0	0, 1		True	0	1													
ds005752	urine_chemistry	Int64	Presence of Urine Chemistry data in data set.	2	0	0, 1		True	0	1													
ds005752	vitamin_levels	Int64	Presence of Vitamin Levels data in data set.	2	0	0, 1		True	0	1													
ds005752	whodas	Int64	Presence of World Health Organization Disability Assessment Schedule 2.0 (WHODAS 2.0) data in data set.	2	0	0, 1		True	0	1		nb:Assessment	719091001	WHODAS (World Health Organization Disability Assessment Schedule) 2.0	WHODAS (World Health Organization Disability Assessment Schedule) 2.0	high	correct		Arman				
ds005754	age	Float64	Age in years.	95	0			False	8.1	18.0	nb:Age											nb:FromFloat	
ds005754	AS	Int64	Does the participant have trial-level behavioral task data for the anti-saccade (AS) task?	2	0	1, 0		True	0	1		nb:Assessment	other assessment	n/a	not found	medium	incorrect	Not an assessment	Arman				
ds005754	AXCPT	Int64	Does the participant have trial-level behavioral task data for the AX-CPT task?	2	0	1, 0		True	0	1		nb:Assessment	other assessment	n/a	not found	medium	incorrect	Not an assessment 	Arman				
ds005754	behavioral_data	Int64	Does the participant have behavioral task (Flanker, SST, AXCPT, AS) data?	1	0	1, 0		True	1	1		nb:Assessment	other assessment	n/a	not found	medium	incorrect	Not an assessment 	Arman				
ds005754	clinical_scores	Int64	Does the participant have clinical measures data?	1	0	1, 0		True	1	1		nb:Assessment	other assessment	n/a	not found	medium	incorrect	Not an assessment 	Arman				
ds005754	ethnicity	Int64	1.  Do you consider yourself to be Hispanic or Latino? (See definition below.)  Select one	3	0	0, 1, 2		True	0	2													
ds005754	Flanker	Int64	Does the participant have trial-level behavioral task data for the flanker task?	2	0	1, 0		True	0	1		nb:Assessment	other assessment	n/a	not found	medium	incorrect	Not an assessment	Arman				
ds005754	fmri_data	Int64	Does the participant have functional MRI data?	2	0	1, 0		True	0	1													
ds005754	highest_education	Int64	Educational status (highest parent if subject is a child/college student self if adult)	8	43	0, 1, 2, 3, 4, 5, 6, 7		True	0	7													
ds005754	income	Int64	What is the total amount of income received by ALL members of your household (including pensions, allowances, and investments)? per year	6	46	0, 1, 2, 3, 4, 99		True	0	99													
ds005754	participant_id	string	Unique BIDS identifier for the participant in this study.	220	0			False			nb:ParticipantID												
ds005754	race	string	2. What race do you consider yourself to be?  Select one or more of the following.	7	0	AMERICAN INDIAN OR ALASKAN NATIVE, ASIAN, BLACK OR AFRICAN AMERICAN, MULTIPLE RACES, UNKNOWN, WHITE		True															
ds005754	sex	string	Sex of the participant.	2	0	F, M		True			nb:Sex												
ds005754	SST	Int64	Does the participant have trial-level behavioral task data for the stop-signal task?	2	0	1, 0		True	0	1		nb:Assessment	other assessment	n/a	not found	medium	incorrect	Not an assessment	Arman				
ds005851	age	Int64	age of the participant	40	0		years	False	19	75	nb:Age											nb:FromFloat	
ds005851	participant_id	string		138	0			False			nb:ParticipantID												
ds005851	scanner	string	acquisition scanner	2	0	quatro, trio		True															
ds005851	sex	string	sex of the participant	2	0	M, F		True			nb:Sex												
ds005851	TIV	Float64	total intracranial volume	138	0		liters	False	1.32874117661961	2.12813851409124													
ds005863	AdditionalNotes	string	Additional notes pertaining to data collection (e.g., EEG channel observations)	21	99			False															
ds005863	Adult1	string	Parent/legal guardian 1 (e.g., mother, father, grandparent, stepparent, etc.) when the participant was 10-years-old	5	0			True															
ds005863	Adult1_Edu	string	Adult 1 highest education level when the participant was 10-years-old	16	1			False															
ds005863	Adult1_In_Household	string	Was adult 1 living in the household with the participant when the participant was 10-years-old?	2	0			True															
ds005863	Adult1_Occupation	string	Adult 1 occupation when the participant was 10-years-old	95	8			False															
ds005863	Adult1_Other	Int64	Parent/legal guardian 1 (e.g., mother, father, grandparent, stepparent, etc.) when the participant was 10-years-old that was not a response option	0	127			True															
ds005863	Adult2	string	Parent/legal guardian 2 (e.g., mother, father, grandparent, stepparent, etc.) when the participant was 10-years-old	8	11			True															
ds005863	Adult2_Edu	string	Adult 2 highest education level when the participant was 10-years-old	16	11			False															
ds005863	Adult2_In_Household	string	Was adult 2 living in the household with the participant when the participant was 10-years-old?	2	12			True															
ds005863	Adult2_Occupation	string	Adult 2 occupation when the participant was 10-years-old	88	18			False															
ds005863	Adult2_Other	Int64	Parent/legal guardian 2 (e.g., mother, father, grandparent, stepparent, etc.) when the participant was 10-years-old that was not a response option	0	127			True															
ds005863	Adult3	string	Parent/legal guardian 3 (e.g., mother, father, grandparent, stepparent, etc.) when the participant was 10-years-old	18	92			False															
ds005863	Adult3_Edu	string	Adult 3 highest education level when the participant was 10-years-old	13	94			False															
ds005863	Adult3_In_Household	string	Was adult 3 living in the household with the participant when the participant was 10-years-old?	2	89			True															
ds005863	Adult3_Occupation	string	Adult 3 occupation when the participant was 10-years-old	23	98			False															
ds005863	Adult4	string	Parent/legal guardian 4 (e.g., mother, father, grandparent, stepparent, etc.) when the participant was 10-years-old	15	104			False															
ds005863	Adult4_Edu	string	Adult 4 highest education level when the participant was 10-years-old	9	104			True															
ds005863	Adult4_In_Household	string	Was adult 4 living in the household with the participant when the participant was 10-years-old?	2	105			True															
ds005863	Adult4_Occupation	string	Adult 4 occupation when the participant was 10-years-old	18	106			False															
ds005863	Age	Float64	Participant age	115	0		Years	False	18.26	30.07	nb:Age											nb:FromFloat	
ds005863	asrs1	string	Response to ASRS item 1 (trouble wrapping up final details of projects)	5	17			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	asrs10	string	Response to ASRS item 10 (misplace or have difficulty finding things)	5	18			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	asrs11	string	Response to ASRS item 11 (distracted by activity or noise)	5	17			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	asrs12	string	Response to ASRS item 12 (leave seat in meetings)	5	17			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	asrs13	string	Response to ASRS item 13 (feel restless or fidgety)	5	17			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	asrs14	string	Response to ASRS item 14 (difficulty unwinding and relaxing)	5	18			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	asrs15	string	Response to ASRS item 15 (talking too much in social situations)	5	18			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	asrs16	string	Response to ASRS item 16 (finishing sentences of people you are talking to)	5	17			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	asrs17	string	Response to ASRS item 17 (difficulty waiting your turn)	5	19			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	asrs18	string	Response to ASRS item 18 (interrupt others when they are busy)	5	19			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	asrs2	string	Response to ASRS item 2 (difficulty getting things in order)	5	17			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	asrs3	string	Response to ASRS item 3 (problems remembering appointments/obligations)	5	17			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	asrs4	string	Response to ASRS item 4 (avoid or delay getting started on tasks)	5	17			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	asrs5	string	Response to ASRS item 5 (fidget or squirm when sitting for a long time)	5	19			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	asrs6	string	Response to ASRS item 6 (feel overly active and compelled to do things)	5	17			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	asrs7	string	Response to ASRS item 7 (make careless mistakes)	5	17			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	asrs8	string	Response to ASRS item 8 (difficulty keeping attention when doing boring work)	5	17			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	asrs9	string	Response to ASRS item 9 (difficulty concentrating on what people say)	5	17			True				nb:Assessment	273860007	Symptom checklist	Synonym learning test	high	incorrect	wrong term	Alyssa	769390009			
ds005863	CapSize	Int64	Participant cap size	7	4			True	48	60													
ds005863	Date	string	Date of assessment	82	0			False															
ds005863	EEG_Tasks	string	Tasks completed by the participant	5	0			True															
ds005863	Employed	string	Is the participant employed	2	0			True															
ds005863	Employed_Yes	string	If the participant is employed, are they employed part-time or full-time	2	67			True															
ds005863	fs1	string	Response to Food Security survey item 1 (food bought did not last and could not afford to get more)	3	2			True									missed		Alyssa	470921000124101			
ds005863	fs2	string	Response to Food Security survey item 2 (could not afford balanced meals)	3	2			True									missed		Alyssa	470921000124101			
ds005863	fs3	string	Response to Food Security survey item 3 (cut size of meals or skip meals because could not afford food)	2	2			True									missed		Alyssa	470921000124101			
ds005863	fs4	string	Response to Food Security survey item 4 (if yes to fs3, how often)	3	97			True									missed		Alyssa	470921000124101			
ds005863	fs5	string	Response to Food Security survey item 5 (eat less than you felt you should because could not afford food)	2	2			True									missed		Alyssa	470921000124101			
ds005863	fs6	string	Response to Food Security survey item 6 (hungry but did not eat because could not afford food)	2	2			True									missed		Alyssa	470921000124101			
ds005863	Gender	string	Participant gender	3	0			True			nb:Sex												
ds005863	Handedness	string	Participant dominant hand	3	0			True															
ds005863	Highest_Adult_Edu	string	Highest educational attainment level completed out of all parents/legal guardians the participant reported living with when they were 10 years old (recoded as Less than a high school diploma; High school diploma; Some college, no degree; Associate degree; Bachelor's degree; Professional or graduate degree)	6	0			True															
ds005863	Highest_Edu	string	Particpant highest education level	6	0			True															
ds005863	hnc1a	string	Response to Home and Neighborhood Characteristics scale item 1a (holes or cracks in walls or ceiling)	2	4			True															
ds005863	hnc1b	string	Response to Home and Neighborhood Characteristics scale item 1b (holes in floor)	2	5			True															
ds005863	hnc1c	string	Response to Home and Neighborhood Characteristics scale item 1c (problems with pests)	2	4			True															
ds005863	hnc1d	string	Response to Home and Neighborhood Characteristics scale item 1d (plumbing that did not work)	2	5			True															
ds005863	hnc2a	string	Response to Home and Neighborhood Characteristics scale item 2a (problematic street noise)	2	4			True															
ds005863	hnc2b	string	Response to Home and Neighborhood Characteristics scale item 2b (problematic trash, litter, or garbage in streets)	2	6			True															
ds005863	hnc3	string	Response to Home and Neighborhood Characteristics scale item 3 (stayed in home at certain times because felt unsafe)	2	5			True															
ds005863	hnc4	string	Response to Home and Neighborhood Characteristics scale item 4 (perceived safety of neighborhood)	4	4			True															
ds005863	Household_Members	Int64	All individuals who live in the household with the participant and depended on the household income over the past 12 months	8	1			True	1	8													
ds005863	IDEAID	string	Participant ID - as originally entered in the IDEA studies	127	0			False															
ds005863	Income	string	Participant income over the past 12 months	14	0			False															
ds005863	Income_Household	string	All money earned by all adults in the household living with the participant over the past 12 months	15	1			False															
ds005863	Issues	string	Issues encountered during data collection	20	107			False															
ds005863	L1_AoA	Int64	Age of acquisition of language participant reported to speak and understand the most fluently (0 indicates learned from birth)	10	45		Years	False	0	11													
ds005863	L1_recoded	string	Language (recoded as English or non-English) participant reported to speak and understand the most fluently	2	45			True															
ds005863	L2_AoA	Int64	Age of acquisition of language participant reported to speak and understand the second most fluently (0 indicates learned from birth)	13	49		Years	False	0	15													
ds005863	L2_recoded	string	Language (recoded as English or non-English) participant reported to speak and understand the second most fluently	2	49			True															
ds005863	LEARN_L1	string	Where the participant learned the language they reported to speak and understand the most fluently	2	45			True															
ds005863	LEARN_L2	string	Where the participant learned the language they reported to speak and understand the second most fluently	2	49			True															
ds005863	Occupation	string	Participant occupation	49	9			False															
ds005863	participant_id	string		127	0			False			nb:ParticipantID												
ds005863	Project	string	Project the data was collected for	2	0			True															
ds005863	Replaced_electrode	Int64	Electrodes replaced during session	0	127			True															
ds005863	Subjective_SES	Int64	Self-reported childhood subjective family socioeconomic status	10	2			False	1	10													
ds005863	Time	string	Time of assessment	20	0			False															
ds005873	participant_id	string		125	0			False			nb:ParticipantID												
ds005873	sex	string	sex of the participant as reported by the participant	2	0	m, f		True			nb:Sex												
ds005896	Age	Int64	Age of the participant	10	0		years	False	11	20	nb:Age											nb:FromFloat	
ds005896	participant_id	string		262	0			False			nb:ParticipantID												
ds005896	Sex	string	Sex of the participant	2	0	F, M		True			nb:Sex												
ds005896	Size	Float64	Height of the participant	25	0		meters	False	1.2446024908333	2.0320040666667													
ds005896	Weight	Float64	Weight of the participant	96	0		kilograms	False	38.5553563545	131.0882116053													
ds005901	Age	Int64	Age of the participant	9	0		years	True	15	23	nb:Age											nb:FromFloat	
ds005901	participant_id	string		120	0			False			nb:ParticipantID												
ds005901	Sex	string	Sex of the participant	3	0	F, M		True			nb:Sex												
ds005901	Size	Float64	Height of the participant	27	0		meters	False	1.0414020841667	2.0320040666667													
ds005901	Weight	Float64	Weight of the participant	64	0		kilograms	False	24.4939910958	164.2004588274													
ds006018	ADHD_binary	Float64	Binary variable indicating whether the participant has symptoms (1) or does not have symptoms (0) that are highly consistent with ADHD in adults. This variable was coded according to the categorization procedure described in the ASRS-V1.1	2	19			True	0.0	1.0		nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	incorrect		Arman				
ds006018	Age_Grouped	string	Participant age (grouped)	3	0		Years	True															
ds006018	asrs1	string	Response to ASRS item 1 (trouble wrapping up final details of projects)	5	17			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs1_binary	Float64	asrs1 re-coded as a binary variable following the categorization procedure described in the ASRS-V1.1	2	17			True	0.0	1.0		nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs10	string	Response to ASRS item 10 (misplace or have difficulty finding things)	5	18			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs11	string	Response to ASRS item 11 (distracted by activity or noise)	5	17			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs12	string	Response to ASRS item 12 (leave seat in meetings)	5	17			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
ds006018	asrs13	string	Response to ASRS item 13 (feel restless or fidgety)	5	17			True				nb:Assessment	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale	high	correct		Alyssa				
